,imagem,Hprojection,Hough,Fourier,Esperado,index_img,Mediana,Media,Moda,erro_mediana,erro_media,erro_moda
0,50646501-6511.page_3..png,-8,82.0,84.0,-83,0,82.0,53.0,83.0,89.0,60.0,0.0
1,50448615-8615.page_0..png,-86,4.0,3.0,-4,1,3.0,-26.0,3.5,89.0,60.0,89.5
2,71989648.page_0..png,-36,54.0,55.0,-54,2,54.0,24.0,54.5,0.0,60.0,0.5
3,2057444860.page_0..png,-68,-67.0,-69.0,68,3,-68.0,-68.0,-68.0,0.0,0.0,0.0
4,0060200963.page_1..png,-40,-40.0,51.0,-50,4,-40.0,-10.0,5.5,0.0,30.0,45.5
5,2040279787.page_0..png,-7,-7.0,-6.0,7,5,-7.0,-7.0,-6.5,0.0,0.0,0.5
6,80221250_80221251.page_0..png,-36,54.0,55.0,-54,6,54.0,24.0,54.5,0.0,60.0,0.5
7,50117087-7087.page_0..png,-35,-35.0,-34.0,35,7,-35.0,-35.0,-34.5,0.0,0.0,0.5
8,527967642+-7643.page_0..png,-75,-75.0,-78.0,75,8,-75.0,-76.0,-76.5,0.0,89.0,88.5
9,0000242151.page_0..png,-56,34.0,36.0,56,9,34.0,5.0,35.0,0.0,61.0,1.0
10,2051141349.page_0..png,-68,-67.0,-66.0,-23,10,-67.0,-67.0,-66.5,0.0,0.0,0.5
11,517005649+-5685.page_8..png,-21,-21.0,-24.0,-69,11,-21.0,-22.0,-22.5,0.0,89.0,88.5
12,tob07321.87.page_0..png,-68,-67.0,20.0,-22,12,-67.0,-38.0,-23.5,1.0,30.0,44.5
13,510281858.page_0..png,-60,-60.0,32.0,60,13,-60.0,-29.0,-14.0,0.0,31.0,46.0
14,2071906594_6597.page_0..png,-43,47.0,48.0,-47,14,47.0,17.0,47.5,0.0,60.0,0.5
15,2040279807.page_0..png,-75,15.0,14.0,-15,15,14.0,-15.0,14.5,89.0,60.0,89.5
16,50083272_50083289.page_8..png,-77,-77.0,-79.0,77,16,-77.0,-78.0,-78.0,0.0,89.0,89.0
17,1002968870_8891.page_3..png,-84,-84.0,-86.0,84,17,-84.0,-85.0,-85.0,0.0,89.0,89.0
18,514132976_514132982.page_0..png,-13,-13.0,75.0,13,18,-13.0,16.0,31.0,0.0,29.0,44.0
19,2076861386_1388.page_1..png,-29,-29.0,-27.0,29,19,-29.0,-28.0,-28.0,0.0,1.0,1.0
20,0000966856.page_1..png,-11,79.0,81.0,-79,20,79.0,50.0,80.0,0.0,61.0,1.0
21,2505377202_7236.page_8..png,-26,-46.0,66.0,-64,21,-26.0,-2.0,10.0,0.0,24.0,36.0
22,89803142_3163.page_9..png,-86,4.0,4.0,-4,22,4.0,-26.0,4.0,0.0,60.0,0.0
23,0001480347.page_3..png,-90,0.0,-1.0,0,23,-1.0,-30.0,-0.5,89.0,60.0,89.5
24,2084346234_6236.page_2..png,-40,-40.0,-40.0,41,24,-40.0,-40.0,-40.0,1.0,1.0,1.0
25,2064968671_8678.page_7..png,-76,13.0,11.0,-13,25,11.0,-17.0,12.0,88.0,60.0,89.0
26,501621607_501621614.page_6..png,-73,-72.0,-75.0,73,26,-73.0,-73.0,-73.5,0.0,0.0,89.5
27,85635457_85635463.page_1..png,-52,-52.0,-53.0,52,27,-52.0,-52.0,-52.5,0.0,0.0,89.5
28,2072388975c.page_0..png,-16,-16.0,-14.0,16,28,-16.0,-15.0,-15.0,0.0,1.0,1.0
29,0060169506.page_1..png,-26,-26.0,62.0,26,29,-26.0,3.0,18.0,0.0,29.0,44.0
30,2505914920_4952.page_8..png,0,-89.0,1.0,-1,30,0.0,-29.0,-44.0,89.0,60.0,45.0
31,527926125+-6126.page_0..png,-3,86.0,88.0,-87,31,86.0,57.0,87.0,89.0,60.0,0.0
32,50562621-2627.page_6..png,-70,-70.0,-73.0,70,32,-70.0,-71.0,-71.5,0.0,89.0,88.5
33,tob04212.88_tob04213.01.page_5..png,-19,-17.0,69.0,19,33,-17.0,11.0,26.0,2.0,30.0,45.0
34,50717440-7446.page_1..png,-20,69.0,72.0,-70,34,69.0,40.0,70.5,89.0,60.0,0.5
35,2060308049.page_0..png,-60,-59.0,-62.0,59,35,-60.0,-60.0,-60.5,89.0,89.0,88.5
36,2022147401_2022147402.page_1..png,-31,-31.0,-29.0,31,36,-31.0,-30.0,-30.0,0.0,1.0,1.0
37,2070650443.page_0..png,-33,-33.0,-32.0,33,37,-33.0,-33.0,-32.5,0.0,0.0,0.5
38,0001448657.page_4..png,-2,87.0,-3.0,-88,38,-2.0,27.0,42.0,0.0,29.0,44.0
39,528936961+-6984.page_6..png,-16,-16.0,-19.0,-74,39,-16.0,-17.0,-17.5,0.0,89.0,88.5
40,0060099783.page_0..png,-12,-15.0,-14.0,16,40,-14.0,-14.0,-14.5,2.0,2.0,1.5
41,509519820_509519824.page_2..png,-6,-6.0,83.0,6,41,-6.0,24.0,38.5,0.0,30.0,44.5
42,528408942+-8948.page_6..png,-42,-42.0,-42.0,42,42,-42.0,-42.0,-42.0,0.0,0.0,0.0
43,0012190945.page_2..png,-16,-15.0,72.0,16,43,-15.0,14.0,28.5,1.0,30.0,44.5
44,80409639_9803.page_6..png,-53,-54.0,36.0,-37,44,-53.0,-24.0,-9.0,0.0,29.0,44.0
45,517005649+-5685.page_4..png,-1,-1.0,89.0,-89,45,-1.0,29.0,44.0,0.0,30.0,45.0
46,00116384_00116385.page_0..png,-3,87.0,88.0,-87,46,87.0,57.0,87.5,0.0,60.0,0.5
47,98875233.page_0..png,-71,18.0,17.0,-19,47,17.0,-12.0,17.5,88.0,59.0,88.5
48,50083272_50083289.page_4..png,-42,48.0,49.0,-48,48,48.0,18.0,48.5,0.0,60.0,0.5
49,2071595566_5589.page_1..png,-30,60.0,62.0,-60,49,60.0,31.0,61.0,0.0,61.0,1.0
50,1003813838_3847.page_7..png,-64,26.0,25.0,-26,50,25.0,-4.0,25.5,89.0,60.0,89.5
51,2040279820.page_0..png,-3,86.0,86.0,3,51,86.0,56.0,86.0,89.0,59.0,89.0
52,2074945736_5737.page_1..png,-45,-45.0,-45.0,45,52,-45.0,-45.0,-45.0,0.0,0.0,0.0
